,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2342480,1751-09-01,16.673000000000002,1.471,Florence,Italy,44.20N,11.18E
2342481,1751-10-01,,,Florence,Italy,44.20N,11.18E
2342482,1751-11-01,,,Florence,Italy,44.20N,11.18E
2342483,1751-12-01,,,Florence,Italy,44.20N,11.18E
2342484,1752-01-01,1.745,2.388,Florence,Italy,44.20N,11.18E
2342485,1752-02-01,,,Florence,Italy,44.20N,11.18E
2342486,1752-03-01,7.99,1.949,Florence,Italy,44.20N,11.18E
2342487,1752-04-01,10.088,1.863,Florence,Italy,44.20N,11.18E
2342488,1752-05-01,,,Florence,Italy,44.20N,11.18E
2342489,1752-06-01,,,Florence,Italy,44.20N,11.18E
2342490,1752-07-01,,,Florence,Italy,44.20N,11.18E
2342491,1752-08-01,,,Florence,Italy,44.20N,11.18E
2342492,1752-09-01,,,Florence,Italy,44.20N,11.18E
2342493,1752-10-01,12.005,1.764,Florence,Italy,44.20N,11.18E
2342494,1752-11-01,8.781,1.7009999999999998,Florence,Italy,44.20N,11.18E
2342495,1752-12-01,5.075,1.827,Florence,Italy,44.20N,11.18E
2342496,1753-01-01,0.022999999999999687,7.1720000000000015,Florence,Italy,44.20N,11.18E
2342497,1753-02-01,2.5610000000000004,4.216,Florence,Italy,44.20N,11.18E
2342498,1753-03-01,7.857,2.81,Florence,Italy,44.20N,11.18E
2342499,1753-04-01,10.569,6.801,Florence,Italy,44.20N,11.18E
2342500,1753-05-01,15.491,1.936,Florence,Italy,44.20N,11.18E
2342501,1753-06-01,22.06,1.829,Florence,Italy,44.20N,11.18E
2342502,1753-07-01,23.41,1.4469999999999998,Florence,Italy,44.20N,11.18E
2342503,1753-08-01,21.061,5.5710000000000015,Florence,Italy,44.20N,11.18E
2342504,1753-09-01,18.362000000000002,1.694,Florence,Italy,44.20N,11.18E
2342505,1753-10-01,12.826,1.469,Florence,Italy,44.20N,11.18E
2342506,1753-11-01,6.142,2.353,Florence,Italy,44.20N,11.18E
2342507,1753-12-01,3.257,3.1660000000000004,Florence,Italy,44.20N,11.18E
2342508,1754-01-01,0.6489999999999996,3.999,Florence,Italy,44.20N,11.18E
2342509,1754-02-01,0.33199999999999985,6.186,Florence,Italy,44.20N,11.18E
2342510,1754-03-01,3.758,4.092,Florence,Italy,44.20N,11.18E
2342511,1754-04-01,10.621,7.462999999999999,Florence,Italy,44.20N,11.18E
2342512,1754-05-01,15.911,3.494,Florence,Italy,44.20N,11.18E
2342513,1754-06-01,20.515,1.754,Florence,Italy,44.20N,11.18E
2342514,1754-07-01,21.662,2.466,Florence,Italy,44.20N,11.18E
2342515,1754-08-01,22.244,4.115,Florence,Italy,44.20N,11.18E
2342516,1754-09-01,17.787000000000006,3.19,Florence,Italy,44.20N,11.18E
2342517,1754-10-01,14.072000000000001,2.362,Florence,Italy,44.20N,11.18E
2342518,1754-11-01,9.024,1.776,Florence,Italy,44.20N,11.18E
2342519,1754-12-01,4.042,2.262,Florence,Italy,44.20N,11.18E
2342520,1755-01-01,-2.8440000000000003,6.377000000000002,Florence,Italy,44.20N,11.18E
2342521,1755-02-01,-0.08099999999999953,5.331,Florence,Italy,44.20N,11.18E
2342522,1755-03-01,6.5870000000000015,4.829,Florence,Italy,44.20N,11.18E
2342523,1755-04-01,14.502,4.904,Florence,Italy,44.20N,11.18E
2342524,1755-05-01,15.549000000000001,3.249,Florence,Italy,44.20N,11.18E
2342525,1755-06-01,22.351999999999997,4.649,Florence,Italy,44.20N,11.18E
2342526,1755-07-01,21.643,1.711,Florence,Italy,44.20N,11.18E
2342527,1755-08-01,20.433,2.678,Florence,Italy,44.20N,11.18E
2342528,1755-09-01,17.27,1.37,Florence,Italy,44.20N,11.18E
2342529,1755-10-01,11.696000000000002,6.9510000000000005,Florence,Italy,44.20N,11.18E
2342530,1755-11-01,7.0909999999999975,6.3660000000000005,Florence,Italy,44.20N,11.18E
